s.id,t.id
SPE000269,TOP000877
SPE000269,TOP000786
SPE000269,TOP000857
SPE000269,TOP000539
SPE000269,TOP000787
SPE000270,TOP000791
SPE000270,TOP000793
SPE000270,TOP000792
SPE000271,TOP007502
SPE000271,TOP000796
SPE000271,TOP000794
SPE000271,TOP007503
SPE000271,TOP007504
SPE000271,TOP000795
SPE000272,TOP000797
SPE000272,TOP000798
SPE000272,TOP000799
SPE000273,TOP000802
SPE000273,TOP000800
SPE000273,TOP000801
SPE000274,TOP000808
SPE000274,TOP000806
SPE000274,TOP000807
SPE000275,TOP000809
SPE000275,TOP000018
SPE000275,TOP000810
SPE000276,TOP000811
SPE000276,TOP000813
SPE000276,TOP000812
SPE000277,TOP000018
SPE000277,TOP000539
SPE000277,TOP000153
SPE000278,TOP000816
SPE000278,TOP000814
SPE000278,TOP000815
SPE000279,TOP000819
SPE000279,TOP000817
SPE000279,TOP000818
SPE000280,TOP000822
SPE000280,TOP000821
SPE000280,TOP000820
SPE000281,TOP000824
SPE000281,TOP000825
SPE000281,TOP000823
SPE000282,TOP000827
SPE000282,TOP000826
SPE000282,TOP000828
SPE000283,TOP000829
SPE000283,TOP000153
SPE000283,TOP000018
SPE000284,TOP000836
SPE000284,TOP000838
SPE000284,TOP000837
SPE000285,TOP000840
SPE000285,TOP000841
SPE000285,TOP000839
SPE000286,TOP000844
SPE000286,TOP000843
SPE000286,TOP000842
SPE000287,TOP000846
SPE000287,TOP000845
SPE000287,TOP000847
SPE000288,TOP000850
SPE000288,TOP000848
SPE000288,TOP000849
SPE000289,TOP000856
SPE000289,TOP000855
SPE000289,TOP000854
SPE000290,TOP000861
SPE000290,TOP000863
SPE000290,TOP000862
SPE000291,TOP000864
SPE000291,TOP000347
SPE000291,TOP000865
SPE000292,TOP000852
SPE000292,TOP000867
SPE000292,TOP000866
SPE000293,TOP000869
SPE000293,TOP000870
SPE000293,TOP000868
SPE000294,TOP000661
SPE000294,TOP000871
SPE000294,TOP000872
SPE000295,TOP000873
SPE000295,TOP000874
SPE000295,TOP000875
SPE000296,TOP000482
SPE000296,TOP000876
SPE000296,TOP000018
SPE000297,TOP000878
SPE000297,TOP000879
SPE000297,TOP000880
SPE000298,TOP000881
SPE000298,TOP000882
SPE000298,TOP000883
SPE000299,TOP000886
